nta2020,building_count,flood_classification,flooded_count,flooded_perc,ntaname,boroname,ntaname_boro
QN1001,23685,Deep and Contiguous Flooding,1812,7.65,South Ozone Park,Queens,"South Ozone Park, Queens"
QN1001,23685,Nuisance Flooding,1285,5.43,South Ozone Park,Queens,"South Ozone Park, Queens"
QN1303,19817,Nuisance Flooding,1691,8.53,Queens Village,Queens,"Queens Village, Queens"
QN1303,19817,Deep and Contiguous Flooding,1231,6.21,Queens Village,Queens,"Queens Village, Queens"
QN1205,18815,Deep and Contiguous Flooding,2304,12.25,St. Albans,Queens,"St. Albans, Queens"
QN1205,18815,Nuisance Flooding,1139,6.05,St. Albans,Queens,"St. Albans, Queens"
SI0302,17565,Deep and Contiguous Flooding,729,4.15,Great Kills-Eltingville,Staten Island,"Great Kills-Eltingville, Staten Island"
SI0302,17565,Nuisance Flooding,648,3.69,Great Kills-Eltingville,Staten Island,"Great Kills-Eltingville, Staten Island"
SI0302,17565,Future High Tides 2080,197,1.12,Great Kills-Eltingville,Staten Island,"Great Kills-Eltingville, Staten Island"
BK1801,15907,Deep and Contiguous Flooding,1342,8.44,Flatlands,Brooklyn,"Flatlands, Brooklyn"
BK1801,15907,Nuisance Flooding,1265,7.95,Flatlands,Brooklyn,"Flatlands, Brooklyn"
BK1101,15203,Nuisance Flooding,893,5.87,Bensonhurst,Brooklyn,"Bensonhurst, Brooklyn"
BK1101,15203,Deep and Contiguous Flooding,540,3.55,Bensonhurst,Brooklyn,"Bensonhurst, Brooklyn"
BK1803,14368,Deep and Contiguous Flooding,1018,7.09,Canarsie,Brooklyn,"Canarsie, Brooklyn"
BK1803,14368,Nuisance Flooding,1006,7.0,Canarsie,Brooklyn,"Canarsie, Brooklyn"
BK1803,14368,Future High Tides 2080,323,2.25,Canarsie,Brooklyn,"Canarsie, Brooklyn"
BK1802,14317,Nuisance Flooding,1221,8.53,Marine Park-Mill Basin-Bergen Beach,Brooklyn,"Marine Park-Mill Basin-Bergen Beach, Brooklyn"
BK1802,14317,Deep and Contiguous Flooding,980,6.85,Marine Park-Mill Basin-Bergen Beach,Brooklyn,"Marine Park-Mill Basin-Bergen Beach, Brooklyn"
BK1802,14317,Future High Tides 2080,36,0.25,Marine Park-Mill Basin-Bergen Beach,Brooklyn,"Marine Park-Mill Basin-Bergen Beach, Brooklyn"
BK1001,13895,Nuisance Flooding,465,3.35,Bay Ridge,Brooklyn,"Bay Ridge, Brooklyn"
BK1001,13895,Deep and Contiguous Flooding,265,1.91,Bay Ridge,Brooklyn,"Bay Ridge, Brooklyn"
QN1101,13122,Deep and Contiguous Flooding,962,7.33,Auburndale,Queens,"Auburndale, Queens"
QN1101,13122,Nuisance Flooding,629,4.79,Auburndale,Queens,"Auburndale, Queens"
SI0304,12461,Nuisance Flooding,341,2.74,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,"Annadale-Huguenot-Prince's Bay-Woodrow, Staten Island"
SI0304,12461,Deep and Contiguous Flooding,259,2.08,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,"Annadale-Huguenot-Prince's Bay-Woodrow, Staten Island"
SI0304,12461,Future High Tides 2080,15,0.12,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,"Annadale-Huguenot-Prince's Bay-Woodrow, Staten Island"
QN1102,11903,Nuisance Flooding,406,3.41,Bayside,Queens,"Bayside, Queens"
QN1102,11903,Deep and Contiguous Flooding,365,3.07,Bayside,Queens,"Bayside, Queens"
QN1203,11902,Deep and Contiguous Flooding,1658,13.93,Baisley Park,Queens,"Baisley Park, Queens"
QN1203,11902,Nuisance Flooding,886,7.44,Baisley Park,Queens,"Baisley Park, Queens"
SI0105,11709,Nuisance Flooding,880,7.52,Westerleigh-Castleton Corners,Staten Island,"Westerleigh-Castleton Corners, Staten Island"
SI0105,11709,Deep and Contiguous Flooding,717,6.12,Westerleigh-Castleton Corners,Staten Island,"Westerleigh-Castleton Corners, Staten Island"
QN0501,11602,Deep and Contiguous Flooding,559,4.82,Maspeth,Queens,"Maspeth, Queens"
QN0501,11602,Nuisance Flooding,473,4.08,Maspeth,Queens,"Maspeth, Queens"
QN0501,11602,Future High Tides 2080,15,0.13,Maspeth,Queens,"Maspeth, Queens"
BK1503,11284,Future High Tides 2080,1859,16.47,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,"Sheepshead Bay-Manhattan Beach-Gerritsen Beach, Brooklyn"
BK1503,11284,Nuisance Flooding,927,8.22,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,"Sheepshead Bay-Manhattan Beach-Gerritsen Beach, Brooklyn"
BK1503,11284,Deep and Contiguous Flooding,723,6.41,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,"Sheepshead Bay-Manhattan Beach-Gerritsen Beach, Brooklyn"
SI0204,11272,Nuisance Flooding,670,5.94,New Springville-Willowbrook-Bulls Head-Travis,Staten Island,"New Springville-Willowbrook-Bulls Head-Travis, Staten Island"
SI0204,11272,Deep and Contiguous Flooding,327,2.9,New Springville-Willowbrook-Bulls Head-Travis,Staten Island,"New Springville-Willowbrook-Bulls Head-Travis, Staten Island"
SI0204,11272,Future High Tides 2080,20,0.18,New Springville-Willowbrook-Bulls Head-Travis,Staten Island,"New Springville-Willowbrook-Bulls Head-Travis, Staten Island"
BX1002,11218,Deep and Contiguous Flooding,1242,11.07,Throgs Neck-Schuylerville,Bronx,"Throgs Neck-Schuylerville, Bronx"
BX1002,11218,Future High Tides 2080,338,3.01,Throgs Neck-Schuylerville,Bronx,"Throgs Neck-Schuylerville, Bronx"
BX1002,11218,Nuisance Flooding,300,2.67,Throgs Neck-Schuylerville,Bronx,"Throgs Neck-Schuylerville, Bronx"
QN0704,11077,Deep and Contiguous Flooding,723,6.53,Murray Hill-Broadway Flushing,Queens,"Murray Hill-Broadway Flushing, Queens"
QN0704,11077,Nuisance Flooding,523,4.72,Murray Hill-Broadway Flushing,Queens,"Murray Hill-Broadway Flushing, Queens"
SI0104,10741,Nuisance Flooding,565,5.26,West New Brighton-Silver Lake-Grymes Hill,Staten Island,"West New Brighton-Silver Lake-Grymes Hill, Staten Island"
SI0104,10741,Deep and Contiguous Flooding,152,1.42,West New Brighton-Silver Lake-Grymes Hill,Staten Island,"West New Brighton-Silver Lake-Grymes Hill, Staten Island"
SI0104,10741,Future High Tides 2080,10,0.09,West New Brighton-Silver Lake-Grymes Hill,Staten Island,"West New Brighton-Silver Lake-Grymes Hill, Staten Island"
QN1305,10712,Deep and Contiguous Flooding,658,6.14,Laurelton,Queens,"Laurelton, Queens"
QN1305,10712,Nuisance Flooding,518,4.84,Laurelton,Queens,"Laurelton, Queens"
QN0602,10483,Deep and Contiguous Flooding,700,6.68,Forest Hills,Queens,"Forest Hills, Queens"
QN0602,10483,Nuisance Flooding,480,4.58,Forest Hills,Queens,"Forest Hills, Queens"
QN1302,10118,Nuisance Flooding,690,6.82,Bellerose,Queens,"Bellerose, Queens"
QN1302,10118,Deep and Contiguous Flooding,646,6.38,Bellerose,Queens,"Bellerose, Queens"
BK1202,10104,Nuisance Flooding,821,8.13,Borough Park,Brooklyn,"Borough Park, Brooklyn"
BK1202,10104,Deep and Contiguous Flooding,745,7.37,Borough Park,Brooklyn,"Borough Park, Brooklyn"
QN0503,10061,Deep and Contiguous Flooding,944,9.38,Glendale,Queens,"Glendale, Queens"
QN0503,10061,Nuisance Flooding,935,9.29,Glendale,Queens,"Glendale, Queens"
SI0201,10057,Deep and Contiguous Flooding,1198,11.91,Grasmere-Arrochar-South Beach-Dongan Hills,Staten Island,"Grasmere-Arrochar-South Beach-Dongan Hills, Staten Island"
SI0201,10057,Nuisance Flooding,1180,11.73,Grasmere-Arrochar-South Beach-Dongan Hills,Staten Island,"Grasmere-Arrochar-South Beach-Dongan Hills, Staten Island"
SI0202,10042,Nuisance Flooding,1289,12.84,New Dorp-Midland Beach,Staten Island,"New Dorp-Midland Beach, Staten Island"
SI0202,10042,Deep and Contiguous Flooding,1110,11.05,New Dorp-Midland Beach,Staten Island,"New Dorp-Midland Beach, Staten Island"
SI0202,10042,Future High Tides 2080,292,2.91,New Dorp-Midland Beach,Staten Island,"New Dorp-Midland Beach, Staten Island"
QN0504,10035,Deep and Contiguous Flooding,747,7.44,Middle Village,Queens,"Middle Village, Queens"
QN0504,10035,Nuisance Flooding,398,3.97,Middle Village,Queens,"Middle Village, Queens"
BK1002,9870,Nuisance Flooding,215,2.18,Dyker Heights,Brooklyn,"Dyker Heights, Brooklyn"
BK1002,9870,Deep and Contiguous Flooding,97,0.98,Dyker Heights,Brooklyn,"Dyker Heights, Brooklyn"
QN0502,9729,Nuisance Flooding,936,9.62,Ridgewood,Queens,"Ridgewood, Queens"
QN0502,9729,Deep and Contiguous Flooding,514,5.28,Ridgewood,Queens,"Ridgewood, Queens"
QN0502,9729,Future High Tides 2080,1,0.01,Ridgewood,Queens,"Ridgewood, Queens"
QN0101,9709,Deep and Contiguous Flooding,703,7.24,Astoria (North)-Ditmars-Steinway,Queens,"Astoria (North)-Ditmars-Steinway, Queens"
QN0101,9709,Nuisance Flooding,384,3.96,Astoria (North)-Ditmars-Steinway,Queens,"Astoria (North)-Ditmars-Steinway, Queens"
QN0101,9709,Future High Tides 2080,1,0.01,Astoria (North)-Ditmars-Steinway,Queens,"Astoria (North)-Ditmars-Steinway, Queens"
QN0702,9528,Deep and Contiguous Flooding,449,4.71,Whitestone-Beechhurst,Queens,"Whitestone-Beechhurst, Queens"
QN0702,9528,Nuisance Flooding,397,4.17,Whitestone-Beechhurst,Queens,"Whitestone-Beechhurst, Queens"
SI0303,9441,Nuisance Flooding,225,2.38,Arden Heights-Rossville,Staten Island,"Arden Heights-Rossville, Staten Island"
SI0303,9441,Deep and Contiguous Flooding,213,2.26,Arden Heights-Rossville,Staten Island,"Arden Heights-Rossville, Staten Island"
QN1403,9422,Future High Tides 2080,6124,65.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel, Queens"
QN1403,9422,Nuisance Flooding,59,0.63,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel, Queens"
QN1403,9422,Deep and Contiguous Flooding,16,0.17,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel, Queens"
SI0203,9166,Nuisance Flooding,392,4.28,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Staten Island,"Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights, Staten Island"
SI0203,9166,Deep and Contiguous Flooding,221,2.41,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Staten Island,"Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights, Staten Island"
SI0203,9166,Future High Tides 2080,4,0.04,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Staten Island,"Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights, Staten Island"
BK0302,9137,Deep and Contiguous Flooding,1010,11.05,Bedford-Stuyvesant (East),Brooklyn,"Bedford-Stuyvesant (East), Brooklyn"
BK0302,9137,Nuisance Flooding,300,3.28,Bedford-Stuyvesant (East),Brooklyn,"Bedford-Stuyvesant (East), Brooklyn"
QN0401,9047,Deep and Contiguous Flooding,695,7.68,Elmhurst,Queens,"Elmhurst, Queens"
QN0401,9047,Nuisance Flooding,652,7.21,Elmhurst,Queens,"Elmhurst, Queens"
QN0301,8971,Deep and Contiguous Flooding,763,8.51,Jackson Heights,Queens,"Jackson Heights, Queens"
QN0301,8971,Nuisance Flooding,386,4.3,Jackson Heights,Queens,"Jackson Heights, Queens"
BK1103,8953,Nuisance Flooding,1066,11.91,Gravesend (West),Brooklyn,"Gravesend (West), Brooklyn"
BK1103,8953,Deep and Contiguous Flooding,945,10.56,Gravesend (West),Brooklyn,"Gravesend (West), Brooklyn"
BK1103,8953,Future High Tides 2080,4,0.04,Gravesend (West),Brooklyn,"Gravesend (West), Brooklyn"
BK1502,8854,Deep and Contiguous Flooding,922,10.41,Madison,Brooklyn,"Madison, Brooklyn"
BK1502,8854,Nuisance Flooding,563,6.36,Madison,Brooklyn,"Madison, Brooklyn"
QN1202,8797,Deep and Contiguous Flooding,1060,12.05,South Jamaica,Queens,"South Jamaica, Queens"
QN1202,8797,Nuisance Flooding,492,5.59,South Jamaica,Queens,"South Jamaica, Queens"
QN1304,8777,Deep and Contiguous Flooding,461,5.25,Cambria Heights,Queens,"Cambria Heights, Queens"
QN1304,8777,Nuisance Flooding,433,4.93,Cambria Heights,Queens,"Cambria Heights, Queens"
BK1501,8757,Nuisance Flooding,788,9.0,Gravesend (East)-Homecrest,Brooklyn,"Gravesend (East)-Homecrest, Brooklyn"
BK1501,8757,Deep and Contiguous Flooding,362,4.13,Gravesend (East)-Homecrest,Brooklyn,"Gravesend (East)-Homecrest, Brooklyn"
BX1203,8615,Deep and Contiguous Flooding,708,8.22,Wakefield-Woodlawn,Bronx,"Wakefield-Woodlawn, Bronx"
BX1203,8615,Nuisance Flooding,413,4.79,Wakefield-Woodlawn,Bronx,"Wakefield-Woodlawn, Bronx"
BK1403,8497,Nuisance Flooding,446,5.25,Midwood,Brooklyn,"Midwood, Brooklyn"
BK1403,8497,Deep and Contiguous Flooding,167,1.97,Midwood,Brooklyn,"Midwood, Brooklyn"
QN1103,8472,Nuisance Flooding,191,2.25,Douglaston-Little Neck,Queens,"Douglaston-Little Neck, Queens"
QN1103,8472,Deep and Contiguous Flooding,117,1.38,Douglaston-Little Neck,Queens,"Douglaston-Little Neck, Queens"
QN1103,8472,Future High Tides 2080,12,0.14,Douglaston-Little Neck,Queens,"Douglaston-Little Neck, Queens"
QN0905,8464,Nuisance Flooding,1011,11.94,Woodhaven,Queens,"Woodhaven, Queens"
QN0905,8464,Deep and Contiguous Flooding,402,4.75,Woodhaven,Queens,"Woodhaven, Queens"
SI0107,8234,Nuisance Flooding,283,3.44,Mariner's Harbor-Arlington-Graniteville,Staten Island,"Mariner's Harbor-Arlington-Graniteville, Staten Island"
SI0107,8234,Deep and Contiguous Flooding,173,2.1,Mariner's Harbor-Arlington-Graniteville,Staten Island,"Mariner's Harbor-Arlington-Graniteville, Staten Island"
