nta2020,shape_area,flood_classification,flooded_area,flooded_area_perc,ntaname,boroname,ntaname_boro
BK0101,35321206.8675,Deep and Contiguous Flooding,1790620.2006704928,5.07,Greenpoint,Brooklyn,"Greenpoint, Brooklyn"
BK0101,35321206.8675,Future High Tides 2080,2038654.8932599784,5.77,Greenpoint,Brooklyn,"Greenpoint, Brooklyn"
BK0101,35321206.8675,Nuisance Flooding,1307740.1480832233,3.7,Greenpoint,Brooklyn,"Greenpoint, Brooklyn"
BK0102,28854355.9582,Deep and Contiguous Flooding,1706097.2973259874,5.91,Williamsburg,Brooklyn,"Williamsburg, Brooklyn"
BK0102,28854355.9582,Future High Tides 2080,738425.6644419234,2.56,Williamsburg,Brooklyn,"Williamsburg, Brooklyn"
BK0102,28854355.9582,Nuisance Flooding,901832.5958666946,3.13,Williamsburg,Brooklyn,"Williamsburg, Brooklyn"
BK0103,15208960.6623,Deep and Contiguous Flooding,2174252.313674426,14.3,South Williamsburg,Brooklyn,"South Williamsburg, Brooklyn"
BK0103,15208960.6623,Nuisance Flooding,462715.86400073726,3.04,South Williamsburg,Brooklyn,"South Williamsburg, Brooklyn"
BK0104,52266211.0207,Deep and Contiguous Flooding,1757908.2625680945,3.36,East Williamsburg,Brooklyn,"East Williamsburg, Brooklyn"
BK0104,52266211.0207,Future High Tides 2080,899607.7156102468,1.72,East Williamsburg,Brooklyn,"East Williamsburg, Brooklyn"
BK0104,52266211.0207,Nuisance Flooding,2396499.314008033,4.59,East Williamsburg,Brooklyn,"East Williamsburg, Brooklyn"
BK0201,9982321.5639,Deep and Contiguous Flooding,66356.10891429018,0.66,Brooklyn Heights,Brooklyn,"Brooklyn Heights, Brooklyn"
BK0201,9982321.5639,Future High Tides 2080,55508.02230020634,0.56,Brooklyn Heights,Brooklyn,"Brooklyn Heights, Brooklyn"
BK0201,9982321.5639,Nuisance Flooding,87691.65481202285,0.88,Brooklyn Heights,Brooklyn,"Brooklyn Heights, Brooklyn"
BK0202,23733661.9747,Deep and Contiguous Flooding,260173.78339658974,1.1,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,"Downtown Brooklyn-DUMBO-Boerum Hill, Brooklyn"
BK0202,23733661.9747,Future High Tides 2080,391883.8638339364,1.65,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,"Downtown Brooklyn-DUMBO-Boerum Hill, Brooklyn"
BK0202,23733661.9747,Nuisance Flooding,841080.5974166521,3.54,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,"Downtown Brooklyn-DUMBO-Boerum Hill, Brooklyn"
BK0203,17534196.303,Deep and Contiguous Flooding,320812.43130407145,1.83,Fort Greene,Brooklyn,"Fort Greene, Brooklyn"
BK0203,17534196.303,Nuisance Flooding,489241.35868462245,2.79,Fort Greene,Brooklyn,"Fort Greene, Brooklyn"
BK0204,14566584.9261,Deep and Contiguous Flooding,266518.1962518408,1.83,Clinton Hill,Brooklyn,"Clinton Hill, Brooklyn"
BK0204,14566584.9261,Nuisance Flooding,385466.70152828644,2.65,Clinton Hill,Brooklyn,"Clinton Hill, Brooklyn"
